addressid,stateprovinceid,city,addressline2,modifieddate,rowguid,postalcode,spatiallocation,addressline1
19,79,Bothell,,2014-04-03 00:00:00,6b7acb0f-cdbf-44fd-ba14-eb08a56c1582,98011,E6100000010C813A0D5F9FDE47407DDBB3C144965EC0,3148 Rose Street
20,79,Bothell,,2009-02-05 00:00:00,4b1f1ed4-97a4-43fd-bb1e-9e05817718e8,98011,E6100000010C034C75E402DE4740483BAF1BF9885EC0,6872 Thornwood Dr.
21,79,Bothell,,2009-02-11 00:00:00,d83299d7-a0f4-4055-9bd5-5908e245d757,98011,E6100000010CEB9115FA90DB47408E4F342DEF815EC0,5747 Shirley Drive
22,58,Portland,,2011-05-24 00:00:00,7f641525-2704-4f73-9d8a-eb062cfbfa3c,97205,E6100000010CB55B852318C34640DD7A52C8D3A75EC0,636 Vine Hill Way
23,79,Seattle,,2009-01-15 00:00:00,b991568f-5096-4a92-b25c-1a3e4d2acc66,98104,E6100000010C9F07FD5862DD47409F583A2EE9975EC0,6657 Sand Pointe Lane
24,36,Duluth,,2011-05-24 00:00:00,be07d3c8-6e58-4670-9da9-151ab6d3d620,55802,E6100000010C04554A7DD566474059F1E1D0B30457C0,80 Sunview Terrace
25,73,Dallas,,2012-07-31 00:00:00,c8df3bd9-48f0-4654-a8dd-14a67a84d3c6,75201,E6100000010C10A810D1886240403A0F0653663158C0,9178 Jumping St.
26,9,San Francisco,,2011-05-24 00:00:00,77415959-a4ee-4da6-86f9-70c097560005,94109,E6100000010CFE3883FD5AE14240E38A86B1249A5EC0,5725 Glaze Drive
27,74,Nevada,,2011-05-24 00:00:00,c1d0f3b0-6b2a-4388-8861-48f44d8270a1,84407,E6100000010C50ECC7344CA044400C0B98AB57FA5BC0,2487 Riverside Drive
28,6,Phoenix,,2011-08-01 00:00:00,12ae5ee1-fc3e-468b-9b92-3b970b169774,85004,E6100000010CCEEAD68894D440404D9D2EDC020E5CC0,9228 Via Del Sol
29,72,Memphis,,2011-05-24 00:00:00,7cc794ad-1822-412b-ab94-337a89a1d0c9,38103,E6100000010C7AED632C1D9641401C8388AE3C8A56C0,8291 Crossbow Way
30,15,Orlando,,2011-07-01 00:00:00,7431591f-36c1-4a65-b722-0e006db73557,32804,E6100000010C90C10F63019F3C4089A0F6721C5254C0,9707 Coldwater Drive
31,57,Ottawa,,2011-05-24 00:00:00,644dea26-e6fd-4019-85e6-35364ddab0cc,K4B 1T7,E6100000010CFE790DE102A84640715F3BDE74D652C0,9100 Sheppard Avenue North
32,63,Montreal,,2012-06-30 00:00:00,84a95f62-3ae8-4e7e-bbd5-5a6f00cd982d,H1Y 2H5,E6100000010C30D3FD464FCA4640CD2A07B90E6152C0,26910 Indela Road
33,1,Calgary,,2011-05-24 00:00:00,237986d3-0f02-4d59-9b2e-6b1a6b5a6185,T2P 2G8,E6100000010CB2F2FC2E338E4940BA61B7D381795CC0,10203 Acorn Avenue
34,119,Bordeaux,,2013-12-21 10:09:29.423,57f25eed-0f07-43ba-83b4-5a4b398f4bf2,33000,E6100000010C1F9AACD1B8624640606323101251E3BF,"94, rue Descartes"
35,20,Berlin,,2013-05-23 00:00:00,2985cf68-8155-45a3-b086-7b08bd4d46ef,14111,E6100000010C078D021125484A408AD730111F9C2A40,Pascalstr 951
36,77,Melbourne,,2013-05-23 00:00:00,18e590a6-a500-48b5-b092-9e0b59816436,3000,E6100000010C17C9C9D093E642C035B63CBED31E6240,34 Waterloo Road
37,14,Cambridge,,2012-05-23 00:00:00,7f80f9ce-50f1-404b-8c18-7c95ee35a6ee,BA5 3HX,E6100000010CFD6ECF37749849406E2CA98C0AF704C0,Downshire Way
38,35,Detroit,,2011-05-24 00:00:00,bd54f2ad-157a-4491-9f05-cc1d5a492cf1,48226,E6100000010C3D5A41438330454086E592457FC954C0,8154 Via Mexico
39,30,Cambridge,,2012-09-23 00:00:00,a5a9ac6d-5488-4a15-a932-f6fa651093f7,02139,E6100000010C74132705E72B4540E64A71E28ACB51C0,3997 Via De Luna
40,79,Bothell,,2010-02-01 00:00:00,5a0c5c47-18be-420b-89ba-d39878160d80,98011,E6100000010C96D19C3E4AE2474057B9479C728E5EC0,1902 Santa Cruz
41,79,Kenmore,,2014-03-25 00:00:00,58f28ffb-be74-47f9-aec0-d5771026ed8f,98028,E6100000010CF89D8A7846E84740D1680C2DC38A5EC0,793 Crawford Street
42,79,Kenmore,,2009-01-20 00:00:00,782c540d-3ead-4d15-b170-e60616cf125b,98028,E6100000010C1BF06593F0E047402DCB06C6D9865EC0,463 H Stagecoach Rd.
43,79,Kenmore,,2010-02-13 00:00:00,e210a601-42b9-4313-979d-4bcca6144343,98028,E6100000010C20D3DF97B7DF47402990709D32895EC0,5203 Virginia Lane
44,79,Kenmore,,2008-12-27 00:00:00,e6a218ae-516c-4cd6-a0a9-105fcd46994b,98028,E6100000010C150DEC8E29E24740146981D2EE945EC0,4095 Cooper Dr.
45,79,Kenmore,,2008-11-25 00:00:00,95a73034-bd61-4349-b337-02d647c88cdd,98028,E6100000010C4225BBB261D84740146981D2EE945EC0,6697 Ridge Park Drive
46,79,Kenmore,,2009-01-29 00:00:00,8fd29f31-eb25-4ec7-9258-fef7160119c0,98028,E6100000010C76AC4DF6E2E84740C9F2DFDB748F5EC0,5669 Ironwood Way
47,79,Kenmore,,2009-01-11 00:00:00,3de1bde3-ff37-4992-b50e-e12d5e247132,98028,E6100000010C04647E81D4E547407941A8BC538C5EC0,8192 Seagull Court
48,79,Kenmore,,2014-01-31 00:00:00,1875165e-d9e4-414f-8fcb-6a8720625443,98028,E6100000010CC0337E30FED8474075061294AC8E5EC0,5553 Cash Avenue
49,79,Kenmore,,2009-02-01 00:00:00,c172e367-e6e6-4200-8865-12902022b891,98028,E6100000010C1BF06593F0E04740C9F2DFDB748F5EC0,7048 Laurel
50,79,Kenmore,,2009-02-06 00:00:00,8ad42881-a81b-4a4d-95c2-6d34a55f3bc9,98028,E6100000010C0947F8859BE44740BC411D627F965EC0,25 95th Ave NE
51,79,Snohomish,,2008-11-30 00:00:00,d40aa5ff-462b-4322-9c67-c7b5f468e6e3,98296,E6100000010CE394E9D501E2474014B8B3D8FE915EC0,3280 Pheasant Circle
52,79,Snohomish,,2009-01-20 00:00:00,19801401-913f-45fa-a7d3-8573f35202e7,98296,E6100000010C182C38B72BE047407D89EAD8CD805EC0,4231 Spar Court
53,79,Snohomish,,2008-12-28 00:00:00,d08e2b94-ffc3-44f6-b926-ecd76f0360f6,98296,E6100000010C39DB74CBB2F0474003CACBFB25835EC0,1285 Greenbrier Street
54,79,Snohomish,,2010-01-29 00:00:00,aeb2271b-a9e9-454e-b04b-8a3b91014463,98296,E6100000010C39DB74CBB2F04740890AAD1E7E855EC0,5724 Victory Lane
55,79,Snohomish,,2009-02-16 00:00:00,ab314668-eacd-4440-9832-cccf2b187078,98296,E6100000010C1040A96179EF47407261B07BBE8B5EC0,591 Merriewood Drive
56,79,Snohomish,,2013-11-29 00:00:00,e7a29ce5-7ec6-4e64-9480-0c166297b6a5,98296,E6100000010C1040A96179EF4740720828931D7C5EC0,3114 Notre Dame Ave.
57,79,Snohomish,,2009-01-22 00:00:00,2c5fe85e-796e-4666-b449-9cfdfa870058,98296,E6100000010CA50D8F1616F047407261B07BBE8B5EC0,7230 Vine Maple Street
58,79,Snohomish,,2008-12-05 00:00:00,44668102-3c93-4005-baab-e14d351d1522,98296,E6100000010C43CFFD3184E747408E77D2B5A68F5EC0,2601 Cambridge Drive
59,79,Snohomish,,2008-11-30 00:00:00,77923f90-fccd-40ae-8c51-52a2267a5a61,98296,E6100000010CDAA4DDF73FEE474077754D2A46865EC0,2115 Passing
60,79,Snohomish,,2009-12-25 00:00:00,5457d27a-52b3-4150-87ea-96b42645ab01,98296,E6100000010C78664C13AEE54740E6B3A9C13D7F5EC0,4852 Chaparral Court
61,79,Monroe,,2006-06-23 00:00:00,07373e01-bd99-405a-996a-ab68984423c3,98272,E6100000010CC440A386ACE847406C86CCD635785EC0,7726 Driftwood Drive
62,79,Monroe,,2008-11-27 00:00:00,851aa003-2d0f-4165-a54b-a13d9b86924a,98272,E6100000010CC56E23CC68EF4740949BC704EA835EC0,3841 Silver Oaks Place
63,79,Monroe,,2009-01-27 00:00:00,e031cc1e-3e82-4338-b590-5fe91242deff,98272,E6100000010CC440A386ACE8474044786554C5795EC0,9652 Los Angeles
64,79,Monroe,,2009-01-08 00:00:00,39efcf68-25ca-4b41-9882-a91f8fc2ec62,98272,E6100000010C827F23CEDBF14740BBA92E875A825EC0,4566 La Jolla
65,79,Monroe,,2009-02-14 00:00:00,c9ed93ad-fe56-4a9e-86d0-e53db70db0cc,98272,E6100000010C8151A3881FEB474036062D4141865EC0,1356 Grove Way
66,79,Monroe,Unit E,2014-05-27 00:00:00,462876dd-b30c-4e9b-a0ad-67a0e14986c6,98272,E6100000010C9C3C23C60FE84740E5DB36E5D86E5EC0,4775 Kentucky Dr.
67,79,Monroe,,2008-12-20 00:00:00,f6a0bc36-9c6e-4395-a7d5-8f31ad3775f4,98272,E6100000010C4B7BA30D3FF147406D8D608279855EC0,4734 Sycamore Court
68,79,Monroe,,2009-02-26 00:00:00,bff6c765-a8ea-4f40-9c87-43c8829eb396,98272,E6100000010CFA16A3018DE24740D669FED1547B5EC0,896 Southdale
69,79,Monroe,,2009-01-14 00:00:00,192987fc-ca4b-421a-8ea9-52ed8eed3d32,98272,E6100000010C594D23C882EA474078D4630EAC7D5EC0,2275 Valley Blvd.
70,79,Monroe,,2008-12-02 00:00:00,5f659de9-3a31-41d5-bb92-ea0d34486c83,98272,E6100000010CAA83A38E78F247406C86CCD635785EC0,1792 Belmont Rd.
71,79,Monroe,,2008-02-13 00:00:00,5cd0edd1-7841-49c9-aebb-69ed1cd2989c,98272,E6100000010C0730A38439E6474093943359A6765EC0,5734 Ashford Court
72,79,Monroe,,2009-02-06 00:00:00,51711cd3-947c-4666-882f-a50943e12339,98272,E6100000010C2377234DA2F04740CB22FB4522835EC0,5030 Blue Ridge Dr.
73,79,Monroe,,2009-02-07 00:00:00,2ad59424-b8fc-4957-82f7-62c11dd89235,98272,E6100000010C6638A30573E74740A20D00186E775EC0,158 Walnut Ave
74,79,Monroe,,2008-11-30 00:00:00,82780fdb-8df5-4334-9994-2d306ecc73e1,98272,E6100000010C3E9023D04EF447405F38359FBF725EC0,8310 Ridge Circle
75,79,Monroe,,2009-02-28 00:00:00,05524ab0-4696-4670-8d2f-580b6a5df760,98272,E6100000010C221B23C229E34740F23062C892815EC0,3747 W. Landing Avenue
76,79,Duvall,,2009-02-03 00:00:00,3661f140-8de9-4c81-a54e-661e6c61a801,98019,E6100000010CB0EA3DB968E347402CE232B5ED685EC0,2598 La Vista Circle
77,79,Duvall,,2008-02-20 00:00:00,c83b3a62-3561-4378-b307-540451ac23bd,98019,E6100000010C2D6899BAAFE747407520D45948725EC0,9693 Mellowood Street
78,79,Duvall,,2008-12-27 00:00:00,86f8d7ea-af62-4a35-8fc6-4278bca608f1,98019,E6100000010C1B709E483EDA4740D1D0ABB0F16F5EC0,1825 Corte Del Prado
79,79,Duvall,,2010-01-17 00:00:00,83393058-231c-4d1e-863a-88385d126810,98019,E6100000010C39F1E4FE68D847402D8183079B6D5EC0,5086 Nottingham Place
80,79,Duvall,,2009-02-02 00:00:00,30a7ad1e-78f0-4f04-83ee-2cd1c37d59a5,98019,E6100000010C0BEF579213DC474076BF24ACF5765EC0,3977 Central Avenue
81,79,Duvall,,2010-02-20 00:00:00,41ae4c8a-1922-427a-b66f-3779639b0f42,98019,E6100000010C8F71FC90CCD74740A0FCEA42B5695EC0,8209 Green View Court
82,79,Duvall,,2009-02-21 00:00:00,c2ae1ea5-4f3c-413c-8810-4185ee46bb96,98019,E6100000010CA069F7023EE5474062AE9DA7F97D5EC0,8463 Vista Avenue
83,79,Duvall,# 14,2009-02-04 00:00:00,f229a37b-c8d9-4e4a-99bb-4d12715a2f5e,98019,E6100000010C2D6899BAAFE747408E2905E3137A5EC0,5379 Treasure Island Way
84,79,Duvall,,2008-12-01 00:00:00,83b10347-08dc-4e5e-8a94-60deb34d92a7,98019,E6100000010CA069F7023EE5474032792D8C6A7C5EC0,3421 Bouncing Road
85,79,Duvall,,2009-02-01 00:00:00,8eab0498-eb64-4f80-aede-ca3735d4c097,98019,E6100000010CE5F1132330D74740A5F494C784785EC0,991 Vista Verde
86,79,Carnation,,2008-12-20 00:00:00,dafbd136-5ac2-4f16-8d82-2bfffd60b7a7,98014,E6100000010C8B773FA1AFDD4740ED29E16761775EC0,390 Ridgewood Ct.
87,79,Carnation,,2009-02-06 00:00:00,b7ad6512-9b80-4fdb-8ebb-b9934b211cea,98014,E6100000010C866A60EF3EDB4740D4329D84B8795EC0,1411 Ranch Drive
88,79,Carnation,,2008-12-01 00:00:00,fd316d3a-10f5-41d7-8cd9-7b1eaa851223,98014,E6100000010CBCEC7CA2A7CF4740370FAD115C705EC0,9666 Northridge Ct.
89,79,Carnation,,2008-12-14 00:00:00,bf8e2fbe-1bc0-4643-9764-2903c86438ec,98014,E6100000010C8A50A28B5DD647408A4DD1DABD805EC0,3074 Arbor Drive
90,79,Carnation,,2010-01-09 00:00:00,5582d57f-9e56-4d15-8633-633206d2a182,98014,E6100000010C8F5D813DCED84740BC3B59A10F7C5EC0,9752 Jeanne Circle
91,79,Seattle,,2008-12-15 00:00:00,219725c5-2537-45db-879d-ce160729eece,98104,E6100000010C8726B9B50FCF47409A9689D608995EC0,7166 Brock Lane
92,79,Seattle,,2007-12-19 00:00:00,dedcaecb-19b4-4441-9bbb-bc758329f406,98104,E6100000010C9A77BCE123C747406282BA744A8D5EC0,7126 Ending Ct.
93,79,Seattle,,2010-01-29 00:00:00,058435df-1143-4921-a47e-fd02e7f05ea7,98104,E6100000010C76957EBCD7CD4740789E0F64BB9D5EC0,4598 Manila Avenue
94,79,Seattle,,2009-02-24 00:00:00,1033ef53-1246-4830-878c-516d4697ed8b,98104,E6100000010C76957EBCD7CD47409A9689D608995EC0,5666 Hazelnut Lane
95,79,Seattle,,2008-12-08 00:00:00,ef7470d7-d3ce-4e30-ae81-6e1f7752134e,98104,E6100000010C019EE4EB4FC547405F3EB2FC77975EC0,1220 Bradford Way
96,79,Seattle,,2009-01-04 00:00:00,ef57ea2b-15fd-4887-90dc-77ec79ae67e9,98104,E6100000010CA8482EA87FD147408346388A2A9C5EC0,5375 Clearland Circle
97,79,Seattle,,2014-02-07 00:00:00,9c3d0b0d-e3b3-4696-b0eb-a90356cb8acc,98104,E6100000010CDAFBDD9327D5474067D6CE07828C5EC0,2639 Anchor Court
98,79,Seattle,,2009-01-25 00:00:00,b3d67582-a180-42ad-be0d-e8fac4080354,98104,E6100000010C52B340978BD44740703AEFB51E955EC0,502 Alexander Pl.
99,79,Seattle,,2008-12-31 00:00:00,137cc1ba-089a-4e2d-91bf-7480802a7e00,98104,E6100000010C63447B90C3D54740789E0F64BB9D5EC0,5802 Ampersand Drive
100,79,Seattle,,2009-02-03 00:00:00,ab6bcc20-67d3-4a26-ba02-cdc917c2dee4,98104,E6100000010CEB8C188D5FD647406492C68FAF965EC0,5125 Cotton Ct.
101,79,Seattle,# 207,2009-02-15 00:00:00,0f1f79ab-54a1-4c6c-beb7-e476e8521599,98104,E6100000010C3091CBA41BD24740703AEFB51E955EC0,3243 Buckingham Dr.
102,79,Seattle,# 2,2009-01-04 00:00:00,5e77ca8d-72d4-4572-8f88-1a1a5a7969f0,98104,E6100000010C0F6F56B2ABCF4740B84AFBD0839E5EC0,3029 Pastime Dr
103,79,Seattle,,2010-02-05 00:00:00,906f7b49-e609-42cb-9bf5-ed5c043d166c,98104,E6100000010CAB08F7DA5BC847405F3EB2FC77975EC0,9537 Ridgewood Drive
104,79,Seattle,,2009-01-29 00:00:00,3b560935-ad49-458d-9c58-3d09c4b1ec3e,98104,E6100000010C0F6F56B2ABCF4740868A4002FD915EC0,9964 North Ridge Drive
105,79,Seattle,,2008-12-19 00:00:00,3a7baabe-a265-43de-86e1-cfe6ea60e3b0,98104,E6100000010CDAFBDD9327D547406AE6DA22E7955EC0,1619 Stillman Court
106,79,Seattle,,2009-01-05 00:00:00,e0d82a90-fae8-43a9-a98d-4f6512e57709,98104,E6100000010C97B7F3AE47D04740868A4002FD915EC0,2144 San Rafael
107,79,Seattle,,2009-01-01 00:00:00,c9fe9dd9-6867-44fc-9c5a-07dbc9ca6f7f,98104,E6100000010CEB8C188D5FD647407BE217DC8D935EC0,7403 N. Broadway
108,79,Seattle,,2008-12-10 00:00:00,6600064e-0b21-405d-85c4-6a5e1e41771d,98104,E6100000010CAB08F7DA5BC8474056DA914EDB8E5EC0,7842 Ygnacio Valley Road
109,79,Seattle,,2010-02-24 00:00:00,f868aae1-dacb-4606-88c4-eb07f4492629,98104,E6100000010CB9D968A1B7D24740703AEFB51E955EC0,874 Olivera Road
110,79,Seattle,,2008-12-08 00:00:00,184ad4a1-45b8-4910-a2b2-a9e2a658b07c,98104,E6100000010CEB8C188D5FD647407DF223F7F29C5EC0,1064 Slow Creek Road
111,79,Seattle,,2009-01-27 00:00:00,c27e3b42-1548-404c-b104-f765cf42c068,98104,E6100000010C22C059DEBFC7474051867DBBA38F5EC0,77 Birchwood
112,79,Seattle,,2009-02-19 00:00:00,40e9167a-db5b-4d4b-9b57-f5030a37ea4c,98104,E6100000010CEB8C188D5FD6474045DE549534915EC0,7765 Sunsine Drive
113,79,Seattle,,2009-12-15 00:00:00,8a12573d-d7c2-4c04-bbb1-a2f050626670,98104,E6100000010CDAFBDD9327D547409A9689D608995EC0,1102 Ravenwood
114,79,Seattle,,2009-02-08 00:00:00,c32ca551-349e-42fd-ab0b-6170e7f0b516,98104,E6100000010C4122069E53D347408EEE60B0999A5EC0,1398 Yorba Linda
115,79,Seattle,,2009-02-13 00:00:00,e7cbd421-ffd2-4a42-a143-67da8558cc03,98104,E6100000010C200091ABE3D0474056DA914EDB8E5EC0,4948 West 4th St
116,79,Seattle,,2009-01-10 00:00:00,db4fab47-ed99-45b0-9064-3aa30f94d74d,98104,E6100000010CCC2A6CCDCBCA47406AE6DA22E7955EC0,8290 Margaret Ct.
117,79,Seattle,,2009-02-08 00:00:00,5c85508e-c13b-49f2-a260-0a0825ed9b81,98104,E6100000010C650444C39FCC474045DE549534915EC0,426 San Rafael
118,79,Seattle,,2008-12-25 00:00:00,e8d35bfa-25ae-422e-b9e9-1d4f4aea18cc,98104,E6100000010CB9D968A1B7D247408346388A2A9C5EC0,136 Balboa Court
119,79,Seattle,,2008-11-28 00:00:00,e09b80e3-dd7f-4dd5-a930-3f1dee324f48,98104,E6100000010C122F1FE587C64740789E0F64BB9D5EC0,7439 Laguna Niguel
120,79,Seattle,,2009-02-08 00:00:00,fb839852-9026-4c74-a7f2-e53030b7a434,98104,E6100000010CEE4CE1BF3BCD47404B3269286C905EC0,6498 Mining Rd.
121,79,Seattle,,2008-11-26 00:00:00,84eaaa89-fdb6-492b-ad96-76793872c81b,98104,E6100000010CCC2A6CCDCBCA47404B3269286C905EC0,6578 Woodhaven Ln.
122,79,Seattle,,2009-12-18 00:00:00,28b00d11-67b0-4818-8b3a-1cfd2ff6169d,98104,E6100000010C8726B9B50FCF47404B3269286C905EC0,2354 Frame Ln.
123,79,Seattle,,2009-01-26 00:00:00,27ce20f5-6770-4dcc-9b57-ec895a745553,98104,E6100000010CCC2A6CCDCBCA47407DF223F7F29C5EC0,6843 San Simeon Dr.
124,79,Seattle,,2008-12-05 00:00:00,6a85821b-1e54-41e7-bb10-25feaf5a63e8,98104,E6100000010C8726B9B50FCF47409FEA9D6940985EC0,7616 Honey Court
125,79,Seattle,,2008-12-08 00:00:00,2c9d61c7-2185-45c3-b20e-04ab9cadff7a,98104,E6100000010CDAFBDD9327D5474045DE549534915EC0,931 Corte De Luna
126,79,Seattle,,2008-12-10 00:00:00,fad17750-d933-4352-9c7c-2fc1378ed1a6,98104,E6100000010CDDBBA6C603CC47405F3EB2FC77975EC0,7594 Alexander Pl.
127,79,Seattle,,2008-11-29 00:00:00,5648b48c-4a83-491e-a4c1-edcbb199c0fd,98104,E6100000010C63447B90C3D5474032D20BC1288A5EC0,7127 Los Gatos Court
128,79,Seattle,,2010-01-05 00:00:00,e7889d2b-ae5e-4b37-ab7b-cf28187a3114,98104,E6100000010CA8482EA87FD14740703AEFB51E955EC0,8656 Lakespring Place
129,79,Seattle,,2008-12-26 00:00:00,94d5bd03-6949-405d-b0df-7ac5f278081f,98104,E6100000010CA8482EA87FD147404B3269286C905EC0,5025 Holiday Hills
130,79,Seattle,,2009-02-25 00:00:00,ad7c7f01-b283-41f1-b8f1-3aebfe50fd18,98104,E6100000010C44E2CED02FCA47405C2EA6E1128E5EC0,5376 Catanzaro Way
131,79,Edmonds,,2013-12-31 00:00:00,e858bee0-02ad-4bab-bc2b-6a66dd046e7b,98020,E6100000010C3CD75BF523E247402BB340BB358C5EC0,504 O St.
132,79,Edmonds,,2010-02-06 00:00:00,ab316a30-9d6b-4b6f-915c-616f6abd7092,98020,E6100000010C26216AA9C3ED47400C6A2F30399E5EC0,6870 D Bel Air Drive
133,79,Edmonds,,2009-01-05 00:00:00,7bbac738-c1b1-411b-b308-2054a5e1f55f,98020,E6100000010CA2F03A1E42E84740ADC92531A89C5EC0,8152 Claudia Dr.
134,79,Edmonds,,2008-12-15 00:00:00,b0f69a8c-1c4e-4a41-a710-0bb1865d85aa,98020,E6100000010C0E926BCEF9E347401747FF3464965EC0,6057 Hill Street
135,79,Edmonds,,2009-02-19 00:00:00,e55266a9-fb17-419f-970d-f96ee2e91f7b,98020,E6100000010CA8788CA5DBDD474056AB422E5BA15EC0,2812 Mazatlan
136,79,Edmonds,,2008-12-12 00:00:00,37c96b81-2e9c-4d4d-beae-44aba1854c47,98020,E6100000010CA8788CA5DBDD474020D670B60A945EC0,172 Turning Dr.
137,79,Edmonds,,2008-12-16 00:00:00,e6266748-6e05-416c-8ff9-beb5c8b15323,98020,E6100000010C5B05FCB9EAE047407E83C53AFE8C5EC0,9784 Mt Etna Drive
138,79,Edmonds,,2008-12-28 00:00:00,a158113b-ac84-4a89-8903-a6dd5f10ce82,98020,E6100000010C74AB4AF717EA47407E83C53AFE8C5EC0,2059 Clay Rd
139,79,Edmonds,,2009-01-13 00:00:00,25b072ab-17f7-4c1c-a13a-acd309bbaa61,98020,E6100000010CE04C7BA7CFE547405AF9A0B1DF9B5EC0,2687 Ridge Road
140,79,Edmonds,,2009-01-07 00:00:00,88fa21d3-2523-4cf1-bcfd-151e734f8961,98020,E6100000010C364F0A6E8AEC4740D1534ABAC68D5EC0,371 Apple Dr.
141,79,Edmonds,,2008-12-10 00:00:00,ace0c24a-95b6-4f08-b223-1a39c64e9051,98020,E6100000010C79339C7EB1DF4740CD05EC3642935EC0,3281 Hillview Dr.
142,79,Edmonds,,2008-12-28 00:00:00,8541e00d-8da8-429b-912e-b7e854747a00,98020,E6100000010C4BEEAB5787E147401747FF3464965EC0,2080 Sycamore Drive
143,79,Edmonds,,2010-02-16 00:00:00,a6d5094a-e523-45a8-abe5-0afc2e7b6fc1,98020,E6100000010C3CD75BF523E247407E83C53AFE8C5EC0,7511 Cooper Dr.
144,79,Edmonds,,2009-01-06 00:00:00,716cf949-c005-4255-ae10-a36a0e905fa2,98020,E6100000010C160A1A4760EE474072A6F535D3945EC0,9825 Coralie Drive
145,79,Edmonds,,2008-12-12 00:00:00,f7053382-c9f1-45bf-a0bd-878fe976208f,98020,E6100000010CEF63CB0933E547406E65E237B1915EC0,8411 Mt. Orange Place
146,79,Edmonds,,2009-01-03 00:00:00,b374fea1-c3b5-4737-a1a4-190997e961df,98020,E6100000010CE04C7BA7CFE547406288123386995EC0,207 Berry Court
147,79,Edmonds,,2009-03-01 00:00:00,69b366b3-533e-4f15-9d75-588789548dd0,98020,E6100000010CFE7A1B6C96E447406A1784B42C975EC0,1061 Buskrik Avenue
148,79,Edmonds,,2010-02-16 00:00:00,0f7b8ac1-a660-447e-aad4-a0048da3cd47,98020,E6100000010C1DA9BB305DE347405AF9A0B1DF9B5EC0,3632 Bank Way
149,79,Edmonds,,2010-01-22 00:00:00,0bfeb74b-804d-4a03-b94d-5812f3df69a8,98020,E6100000010CEF63CB0933E54740B55897B24E9A5EC0,3026 Anchor Drive
